run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy
58,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.733333
48,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,5.0,0.731667
68,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,7.0,0.73
8,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,1.0,0.73
78,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,8.0,0.725
88,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,9.0,0.723333
98,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,10.0,0.723333
28,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,3.0,0.716667
38,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,4.0,0.713333
108,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,11.0,0.713333
75,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,8.0,0.711667
138,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,14.0,0.71
128,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,13.0,0.706667
118,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,12.0,0.706667
185,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,19.0,0.703333
105,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,11.0,0.703333
95,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,10.0,0.701667
195,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,20.0,0.701667
85,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,9.0,0.701667
115,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,12.0,0.701667
65,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,7.0,0.701667
155,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,16.0,0.7
135,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,14.0,0.7
145,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,15.0,0.7
245,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,25.0,0.7
125,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,13.0,0.7
148,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,15.0,0.698333
18,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,2.0,0.698333
295,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,30.0,0.696667
165,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,17.0,0.696667
265,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,27.0,0.696667
168,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,17.0,0.695
61,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,7.0,0.695
215,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,22.0,0.695
235,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,24.0,0.695
188,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,19.0,0.693333
178,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,18.0,0.693333
175,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,18.0,0.693333
71,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,8.0,0.693333
91,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,10.0,0.691667
29,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,3.0,0.691667
81,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,9.0,0.691667
51,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.691667
285,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,29.0,0.691667
305,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,31.0,0.69
255,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,26.0,0.69
19,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,2.0,0.688333
158,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,16.0,0.688333
225,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,23.0,0.688333
39,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,4.0,0.688333
315,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,32.0,0.688333
275,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,28.0,0.686667
41,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,5.0,0.686667
121,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,13.0,0.686667
205,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,21.0,0.686667
101,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,11.0,0.686667
111,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,12.0,0.685
335,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,34.0,0.683333
55,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.683333
141,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,15.0,0.683333
345,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,35.0,0.681667
325,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,33.0,0.681667
49,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,5.0,0.68
69,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,7.0,0.68
131,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,14.0,0.68
198,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,20.0,0.68
59,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,6.0,0.678333
9,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,1.0,0.678333
365,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,37.0,0.678333
451,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,46.0,0.678333
161,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,17.0,0.678333
415,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,42.0,0.676667
31,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,4.0,0.676667
355,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,36.0,0.676667
171,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,18.0,0.675
381,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,39.0,0.673333
151,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0,3,16.0,0.673333
